Serb,0.02,0.34,1.69,1.49,0,6.48,0,0,8.81,0,13.82,5.61,9.30,5.09,3.19,8.94,0,14.58,0,1.65,0.12,4.08,3.09,5.50,0,0.03,0,0,0,0.05,0.07,0,0.86,0,1.86,3.04
Slovak,0.00,0.00,0.41,0.86,0.00,8.66,0,0,6.32,0,18.63,1.88,13.72,10.57,4.05,5.80,0,6.40,0,0.41,0.00,8.92,1.16,9.40,0,0.00,0,0,0,0.00,0.14,0,1.24,0.00,0.08,1.22
Slovenian,0,0.02,0.21,1.62,0,9.77,0,0,6.88,0,15.29,0.94,11.62,8.02,5.53,7.99,0,9.83,0,0.30,0.15,7.48,1.79,9.21,0.01,0,0,0,0,0,0.08,0,0.58,0,0.50,2.04
Spanish,0.05,1.29,0.50,9.06,0.00,2.11,0.06,0.00,2.48,0.00,3.17,1.43,0.97,1.46,4.89,30.41,0.01,14.05,0.09,1.64,2.80,8.10,0.19,6.12,0.21,0.07,0.22,0.04,0.00,0.15,0.04,0.00,0.23,0.08,0.31,6.77
Swedish,0.06,0,0.01,1.51,0,6.65,0,0,2.09,0.01,8.85,0,6.22,21.28,6.19,7.36,0.00,4.44,0.04,0,0.01,13.58,0.52,19.47,0,0.08,0.00,0.00,0.08,0.05,0.12,0,0.95,0,0.00,0.32
Swiss_German_North,0,0,0.65,3.96,0,4.98,0,0,4.11,0,5.38,1.11,4.51,7.02,6.56,12.91,0,16.44,0,0,0,11.64,3.41,13.17,0,0,0,0,0,0,0,0,0,0,0.48,3.67
Ukrainian,0.04,0.01,0.46,1.21,0,7.72,0.04,0.00,6.86,0,23.58,0.75,14.93,10.36,3.49,5.37,0,3.96,0,0.02,0.00,8.57,1.60,5.6,0.11,0.00,0,0.00,0.00,0.00,0.39,0,2.85,0.00,0.92,0.38
Upper_Silesia,0,0,0,0.24,0,8.17,0,0,6.36,0,22.32,0,15.58,15.08,5.76,5.15,0,3.70,0,0,0,9.40,0,7.34,0,0,0,0,0,0,0,0,0,0,0.28,0.59
Welsh,0.02,0,0.07,2.56,0,6.92,0,0,1.41,0,5.62,0,4.91,8.73,7.69,14.64,0,6.09,0,0,0,18.60,1.90,19.37,0,0.04,0.00,0,0,0,0.27,0,0.30,0,0.17,0.58
Amerindian,81.33,0,0,0,0,1.09,0,0,0,0.54,0.05,0,0.04,3.15,0.11,0.03,0,0,0,0,1.58,0.01,0,1.64,0,0.03,0,0,7.27,0.03,0,1.94,0.08,1.05,0,0
Armenian,0,4.42,13.32,0.31,0,0.44,0,0,1.06,0,0.21,18.91,0,0,0,0.24,0,9.61,0,12.03,0.01,0.075,20.35,0,0,0,0,0,0,0,11.81,0,0,0,11.43,0.44
Assyrian,0,7.17,13.58,0,0,0,0,0,0,0,0,21.22,0,0,0,0,0,6.72,0,23.59,0,0,12.02,0,0,0,0,0,0,0,7.58,0,0,0,7.61,0.47
Chinese,0,0,0,0,0,0,0,39.3,0,8.62,0,0,0,0,0,0,13.19,0,3.00,0,0,0,0,0,0,0,0,0,0.14,0,0,35.74,0,0,0,0
Indian,0,0,0.29,0,0,0,0,0,0,0,0,0,0,0.65,0.61,0,0,0,1.05,0,0,0.89,2.07,0.64,0,0.48,0,0.52,0,57.86,33.87,0,0.61,0,0.42,0
Levantine,0,11.29,8.38,0.54,0,0.4,0.03,0.01,0.62,0.00,0.00,27.84,0,0.00,0.08,0.26,0,8.15,0,24.30,1.67,0.01,6.97,0.02,1.41,0.07,0,0.00,0,0.04,1.3,0,0.01,0.03,3.55,2.83
Nepalese,0.97,0,0,0,0,1.03,0,0.68,1.46,1.13,1.73,0,1.22,3.17,0.23,0,0,0,0.36,0,0,1.57,8.44,1.8,0,0,0,0,1.25,39.48,30.47,1.96,1.66,0,1.37,0
North-African,0.02,6.75,0.66,0.54,0.02,0.10,1.24,0.13,0.59,0.02,0.04,6.61,0.01,0,0.38,14.75,0.34,5.69,0,10.45,26.77,0.09,0.08,0.05,12.25,0.05,0.03,0,0.01,0.00,0,0.03,0.00,6.64,0.17,5.41
Sub-Saharan_African,0,0,0,0,2.57,0,3.35,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0.11,0,0.4,5.47,0,0,0,0,0,87.65,0,0.01
Turkish,0.13,1.8,6.03,0.23,0,1.36,0.03,0.58,3.16,0.82,3.44,11.14,4.08,2.69,1.93,4.69,0.07,10.22,0.22,7.50,0.05,2.89,16.87,0.96,0.06,0.03,0,0.10,1.37,0.05,5.49,0.14,2.07,0,5.96,1.05

